manufacturer_slice,match
health care ltd,"['health care ltd', 'health carecltd', 'health care limited', 'health care pvt', 'healthcare pvt ltd']"
insecta kenya ltd,"['insecta kenya ltd', 'secham kenya ltd']"
shandon pharmaceutical ltd,"['shandon pharmaceutical ltd', 'changton pharmaceuticals ltd', 'nandini pharmaceutical ltd', 'shandong pharmaceuticals', 'sun pharmaceutical ltd']"
goodman international ltd,"['goodman international ltd', 'goodman international', 'coromandel international ltd', 'coromandal international ltd', 'coromandel intenational ltd']"
dira chemicals ind.,"['dira chemicals ind.', 'dera chemicals ind.', 'dera chemical ind', 'dera chemical inds']"
tri clover,"['tri clover', 'triclover', 'triclovers', 'tri-clover', 'tri clover ind']"
arom chemical industries,"['arom chemical industries', 'arom chemicals industries', 'arom chemical industrie', 'aroms chemicals industries', 'aroms chemical industriesa']"
grains industries limited,"['grains industries limited', 'grains industries ltd', 'grain industries ltd', 'grain indrustries ltd', 'crown industries limited']"
canon chemicals  ltd,"['canon chemicals  ltd', 'canon chemicals', 'nantong chemical ltd', 'crown chemical ltd', 'arom chemicals ltd']"
hangzhou agro,['hangzhou agro']
allure animal,"['allure animal', 'allure animals', 'alluere animal', 'alllure animal', 'allua animal']"
patanisho feeds ltd,"['patanisho feeds ltd', 'patanisho feeds', 'patinisho feeds', 'patanisho ltd', 'mapato feeds ltd']"
betatrad kenya limited,"['betatrad kenya limited', 'betatrad kenya ltd', 'betatrad limited']"
brussels laboratories ltd,"['brussels laboratories ltd', 'brussels laboratories', 'l brussels laboratories', 'les laboratories ltd', '.sn laboratories ltd']"
eagle vet.techco.ltd,"['eagle vet.techco.ltd', 'eagle vettech co.ltd', 'eagle vet techco.ltd', 'eagle vet.tech.ltd', 'eaglevettechco ltd']"
cussons,"['cussons', 'pz cussons', 'carssons']"
tronic ltd,"['tronic ltd', 'tronic lyd', 'ronac ltd', 'tropical ltd', 'getron ltd']"
made by yara,"['made by yara', 'made by aroms']"
king chemical limited,"['king chemical limited', 'king chemical ltd', 'dera chemical limited', 'yixing chemical ltd', 'mutunda chemical limited']"
jubaili agrovet,"['jubaili agrovet', 'jubail agro vet', 'jamii agrovet', 'jubaili agrochem', 'jubali agrotech']"
agrevel east africa,"['agrevel east africa', 'agreval east africa', 'agrieval east africa', 'agreval east african', 'agrival east africa']"
joskab enterprise ltd,"['joskab enterprise ltd', 'joskab enterprise', 'vonka enterprises ltd', 'jk entreprise ltd']"
nsanja agrochemials ltd,"['nsanja agrochemials ltd', 'nsanja agro-chemicals ltd', 'nsanja agrochemical ltd', 'nsanja agricochemicals ltd', 'nsanja agrochemicaks ltd']"
coromandal international ltd,"['coromandal international ltd', 'coromandel international ltd', 'coromandel intenational ltd', 'coromadel international ltd', 'coromandel lnternational ltd']"
african seed company,"['african seed company', 'eafrican seed company', 'africa seed company', 'african seed compony', 'africasia seed company']"
diamond international ltd,"['diamond international ltd', 'goldenlion international ltd', 'concfeed international ltd', 'sharda international ltd', 'yara international ltd']"
r.h  devani limited,"['r.h  devani limited', 'rh devani limited', 'r.h devan limited', 'rh.devani limited', 'r.h devon limited']"
techno-systems ltd,"['techno-systems ltd', 'technosystems ltd', 'techno systems ltd', 'techno system ltd', 'techno systemstd']"
zim laboratories ltd,"['zim laboratories ltd', 'zim laboratories limited', 'zim laboratories', 'laboratories ltd', 'acme laboratories ltd']"
fresh agriculture,"['fresh agriculture', 'freshy agriculture', 'east agriculture', 'tenasi agriculture']"
pro gas,"['pro gas', 'progas', 'proto gas', 'pro gasgas']"
farmfix africa,['farmfix africa']
solutions east,['solutions east']
bic east,['bic east']
pioneer kenya ltd,"['pioneer kenya ltd', 'deera kenya ltd', 'unilever kenya ltd']"
hariss international limited,"['hariss international limited', 'agrisole international limited', 'macter international limited', 'shoshona international limited', 'farmyard international limited']"
afri ventures,"['afri ventures', 'afri vets', 'right ventures', 'max ventures', 'agroalid ventures']"
sidai africa (kenya)ltd,"['sidai africa (kenya)ltd', 'sidai africa(kenya)ltd.', 'sidai africa (kenya)', 'sidai africa(kenya)', 'sidai africa(kenya) limited']"
trust chemicals,"['trust chemicals', 'trust. chemicals', 'trust chemical', 'trust chemicals u', 'trust chemucals']"
pembe maize millers,"['pembe maize millers', 'pembe millers', 'maize millers']"
trust investiments ltd,"['trust investiments ltd', 'samtru investments ltd', 'samtru investment ltd', 'silmart investments ltd', 'samburu investments ltd']"
alivira animal health,"['alivira animal health', 'alivira animal ltd', 'allure animall health', 'allure animal  health', 'allure animael health']"
eagle vet techco.ltd,"['eagle vet techco.ltd', 'eagle vettech co.ltd', 'eagle vet.techco.ltd', 'eaglevettechco ltd', 'eagle vet.tech.ltd']"
mafuko industries limited,"['mafuko industries limited', 'crown industries limited', 'bhd industries limited', 'statpack industries limited', 'kenafric industries limited']"
kenya biologies,"['kenya biologies', 'kenya biologicals', 'kenya bioligics']"
rainbow distributors ltd,"['rainbow distributors ltd', 'maya distributors ltd', 'fedo distributors ltd']"
nova chemical industries,"['nova chemical industries', 'nova chemical industry', 'soap &chemical industries', 'nikoz chemical industries', 'nikko chemical industries']"
nsanja agrochemical ltd,"['nsanja agrochemical ltd', 'nsanja agro-chemicals ltd', 'nsanja agrochemials ltd', 'nsanja agricochemicals ltd', 'nsanja agrochemicaks ltd']"
starling seeds ltd,"['starling seeds ltd', 'sterling seeds ltd', 'sterling seed ltd', 'starling seeds', 'sterling seeds limited']"
bingwa chemical ltd,"['bingwa chemical ltd', 'king chemical ltd', 'yixing chemical ltd', 'biochemical ltd', 'orion chemical ltd']"
balm lndustries ltds,"['balm lndustries ltds', 'pl lndustries ltd', 'balm lndustries', 'bayline industries ltd', 'style lndustries ltd']"
microsta internationa ltd,"['microsta internationa ltd', 'microstar international ltd', 'microsta international ltd.', 'micropsta international ltd', 'microsta international']"
atlantis life,"['atlantis life', 'antlantis life', 'atlantislife', 'atlantic life', 'altantis life']"
aesthetics kenya limited,"['aesthetics kenya limited', 'nestile kenya limited', 'aesthetics kenya']"
rainbow chemical,"['rainbow chemical', 'rainbow chemicals', 'rainbow chemicals ltd', 'rainbow agrochemicals', 'rainbow agro chemicals']"
reva ltd.,"['reva ltd.', 'reva ltd', 'agreval ltd.', 'ceva ltd', 'kevian ltd.']"
oxyplus international ltd,"['oxyplus international ltd', 'oxyplus international co.ltd', 'oxyplus international', 'oxyplus international comany', 'oxyplus international company']"
njonjem enterprises ltd,"['njonjem enterprises ltd', 'njonjem entreprise ltd', 'njonjem enterprises', 'njonjemi enterprises', 'njonjem enterprise']"
packaging industries ltd,"['packaging industries ltd', 'packaging industries limited', 'packaging  industries', 'pi industries ltd', 'grain industries ltd']"
boom vamit,"['boom vamit', 'boon vamit', 'boom vanit', 'boom vani', 'boon vanit']"
allure animall health,"['allure animall health', 'allure animal  health', 'allure animael health', 'allure aniamal health', 'allure  animal health']"
crop care enterprises,"['crop care enterprises', 'cropcare enterprises', 'cropcare enterprise', 'armcare enterprises', 'armacare enterprises']"
sakar healthcare ltd,"['sakar healthcare ltd', 'sakari healthcare ltd', 'sakar healthcare limited', 'skant healthcare ltd', 'shalina healthcare ltd']"
rentokill,"['rentokill', 'rentokil']"
synovet animal health,"['synovet animal health', 'novartis animal health', 'sunrise animal health', 'bayer animal health']"
seth enterprises,"['seth enterprises', 'sheth enterprise', 'super enterprises', 'supen enterprises', 'sepma enterprises']"
mombasa miller,"['mombasa miller', ""mombasa miller's"", 'monbasa millerz', 'mombasa millers ltd', 'mombasa maize']"
falcon  fertilizer,"['falcon  fertilizer', 'falcon fertilizers', 'falcon fertilizers,', 'falcon fertilisers', 'falcon fertilizer ltd']"
memo enterprises,"['memo enterprises', 'sepma enterprises', 'emuma enterprises', 'maxichem enterprises', 'hemapron enterprises']"
maulaide healthcare,"['maulaide healthcare', 'maulaide health care', 'maulide healthcare', 'maulade healthcare', 'maulaede healthcare']"
unicherm pharma ltd,"['unicherm pharma ltd', 'unichem pharma ltd', 'unicel pharma ltd', 'unisel pharma ltd']"
jada enterprises,"['jada enterprises', 'adona enterprises', 'kijata enterprises', 'jamal enteprises', 'adonahi enterprises']"
vitchem enterprises,"['vitchem enterprises', 'victchem enterprise', 'maxichem enterprises', 'botachem enterprises', 'maxi chem enterprises']"
licpharm enterprises ltd,"['licpharm enterprises ltd', 'lichpharm enterprises ltd', 'licpharm enterprise ltd', 'licpharm entriprises ltd', 'lickharm enterprises  ltd']"
nairobi enterprises ltd,"['nairobi enterprises ltd', 'nairobi enterprise ltd', 'nairobi enterprises', 'nairobi enterprise', 'diarim enterprises ltd']"
saga lifescience,"['saga lifescience', 'saga lifescience ltd', 'mega lifescience', 'saga lifesciences ltd', 'mega lifesciences']"
agripack seed ltd.,"['agripack seed ltd.', 'agripack seeds ltd.', 'agripack seed ltd', 'agripack seeds ltd', 'agripack seeds limited']"
nova insustries,"['nova insustries', 'novixa industries', 'norda industries', 'norida industries', 'reva industries']"
the real,['the real']
bajuta international,"['bajuta international', 'haut international', 'uma international', 'ayul international', 'bajuta international limited']"
norbrook ug ltd.,"['norbrook ug ltd.', 'norbrook u ltd', 'norbrook (u) ltd.', 'nobrook u ltd', 'norbrook ltd']"
a to z,"['a to z', 'atoz', 'a to']"
galvamesh enterprises,"['galvamesh enterprises', 'galvamesh  enterprises', 'galvamesh enterprises ltd', 'galvamesh enterprises. ltd', 'galvamesh enterprise ltd']"
galpha laboratories ltd,"['galpha laboratories ltd', 'galpha laboratories limited', 'galpha laboratories', 'salina laboratories ltd', 'maylan laboratories ltd']"
del monte,"['del monte', 'delmonte']"
pics bell industries,['pics bell industries']
botachem interprices,"['botachem interprices', 'botachem enterprises', 'botachem industries']"
eldoret holdings,['eldoret holdings']
agreval east,"['agreval east', 'agreval. east.', 'agreval east a', 'agrival east', 'agreval ea']"
mutunda chemical limited,"['mutunda chemical limited', 'mutunda chemical ltd', 'dera chemical limited', 'mutunda chemical', 'mutuchem limited']"
diarim enterprises ltd,"['diarim enterprises ltd', 'diarim enterprisrs l.t.d', 'diarim enterprises', 'licpharm enterprises ltd', 'lickharm enterprises  ltd']"
extel crop care,['extel crop care']
philter feeds ltd,"['philter feeds ltd', 'philter feeds', 'hill feeds ltd', 'premier feeds ltd', 'super feeds ltd']"
hebei pharmaceutical,"['hebei pharmaceutical', 'hebei pharmaceuticals', 'hebei pharmceutical', 'hebei pharmaceutical ltd', 'freb pharmaceutical']"
dera chemical limited,"['dera chemical limited', 'dera chemical ltd', 'dera chemical lmt', 'deral chemical ltd', 'dera chemical. ltd']"
salina laboratories ltd,"['salina laboratories ltd', 'shalina laboratories', '.sn laboratories ltd', 'maylan laboratories ltd', 'galpha laboratories ltd']"
anhui huanxing,['anhui huanxing']
maylan laboratories ltd,"['maylan laboratories ltd', 'mylan laboratories ltd', 'mylan laboratoriesltd', 'milan laboratories ltd', 'mylan laboratories']"
prime seedco. ltd.,"['prime seedco. ltd.', 'prime seed.co ltd', 'prime seed co.ltd', 'prime seed ltd', 'prime seed co.']"
ur home,['ur home']
tata chemicals magadi,"['tata chemicals magadi', 'tata chemicals  magadi', 'tata chemical magadi', 'tata  chemical magadi', 'tata chemicals']"
jilas chemicals ltd,"['jilas chemicals ltd', 'jilas chemicals', 'aroms chemicals ltd', 'hola chemical ltd', 'elys chemical ltd']"
alllure animal health,"['alllure animal health', 'allure animall health', 'allure animal  health', 'allure animael health', 'allure aniamal health']"
gen chem,"['gen chem', 'gen chemie', 'gem chem', 'aden chem', 'kenchem']"
afribest seeds ltd,"['afribest seeds ltd', 'afribest seeds']"
vanko enterprises limited,"['vanko enterprises limited', 'vanko enterprises limted', 'paksons enterprises limited', 'vonka enterprises ltd', 'vanko enterprises']"
fino jet,"['fino jet', 'fino ject', 'finojet', 'fino- ject', 'finoject']"
jubailiagrotech,"['jubailiagrotech', 'jubali agrotech', 'jubalii agrotech', 'jubaili agritech', 'jubali agritech']"
ashis life science,"['ashis life science', 'ashishi life science', 'ashish life scoence', 'ashich life science', 'atlsntis life science']"
mea   ltd,"['mea   ltd', 'eram u  ltd']"
afro chemical industries,"['afro chemical industries', 'aron chemical industries', 'arom chemical industries', 'arom chemicals industries', 'arom chemical industrie']"
sunfarm agrochemicals ltd,"['sunfarm agrochemicals ltd', 'sunfarm agro chemicals', 'sun farm agrochemicals', 'sunfarm agrochicals', 'isagro agrochemicals ltd']"
life distributor,"['life distributor', 'neolife distributors', 'distributor', 'kilimo distributors', 'belcare distributor']"
rainbow agro sciencerain,"['rainbow agro sciencerain', 'rainbow agrosciencr', 'rainbow agrosciences', 'rainbow agriscience']"
ceat ltd.,"['ceat ltd.', 'ceva ltd']"
rainbow agrosciencr,"['rainbow agrosciencr', 'rainbow agrosciences', 'rainbow agriscience', 'rainbow agro sciencerain', 'rainbow agricare']"
highchem marketing industry,"['highchem marketing industry', 'highchem marketing']"
supreme farmcare ltd,"['supreme farmcare ltd', 'supreme farmcare ltd.', 'supreme farmcare', 'supreme farm care', 'supreme farm care.']"
botachemical ltd,"['botachemical ltd', 'biochemical ltd', 'botachem chemical ltd', 'chemical ltd', 'botachemical']"
tagros ltd,"['tagros ltd', 'agro ltd', 'zagro ltd', 'magos ltd', 'lagos ltd']"
hangzhou agrochemicals,"['hangzhou agrochemicals', 'hangzhou agrochemical', 'hangzhouz agrochemical', 'jiangsh agro chemicals', 'jingbo agrochemicals']"
safari seeds limitedsaf,"['safari seeds limitedsaf', 'safaris seed limited']"
allure animael health,"['allure animael health', 'allure animall health', 'allure animal  health', 'allure aniamal health', 'allure  animal health']"
seedo company ltd,"['seedo company ltd', 'seedco company ltd', 'leo company ltd', 'afreeseed company ltd', 'seedco company']"
chandaria industries ltd.,"['chandaria industries ltd.', 'chandaria industries ltd', 'chandaria industries', 'chandaria  industries', 'heranda industries ltd']"
mutunda chemical,"['mutunda chemical', 'mutunda chemicals', 'mutuda chemical', 'butunda chemicals', 'mutunda chemical ltd']"
sepros ltd.,"['sepros ltd.', 'sepros ltd', 'keapros ltd.', 'eros ltd', 'keapros ltd']"
made in,"['made in', 'made china']"
jubali agrotech,"['jubali agrotech', 'jubalii agrotech', 'jubali agritech', 'jubailiagrotech', 'jabali agrotech']"
victchem enterprise,"['victchem enterprise', 'vitchem enterprises', 'maxichem enterprises', 'botachem enterprises', 'botched enterprise']"
animix animal,"['animix animal', 'animixani']"
tci kenya limited,"['tci kenya limited', 'tci kenya ltd', 'tronic kenya limited', 'nestile kenya limited', 'kenyata limited']"
pharmplan containers ltd.,['pharmplan containers ltd.']
unosource pharma ltd,"['unosource pharma ltd', 'unisel pharma ltd', 'unicel pharma ltd']"
cornix ltd,"['cornix ltd', 'coninx ltd', 'coninx lt', 'con ltd', 'cowmix ltd']"
